,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-136.22999838349196,39.135365867130325,-237.15497869330315,-89.133509063511,,
1,0,20.57339951569842,30.854243553941384,-28.79441791896915,74.45170794820955,4220.106274414063,140.96339950561523
2,1,122.0433430049912,40.70973072005523,65.4037531004177,211.25008162619264,193.9587516784668,104.15063228607178
3,2,174.37230653430447,23.82830975427541,146.8150425759115,227.4135169444855,119.99650497436524,74.06502062479655
4,3,232.87587386556987,29.04139508066756,196.2703538748217,294.5953044362336,87.20108387470245,60.20507497191429
5,4,251.80185331351885,50.94672292869078,185.85122090053954,336.80805996382617,74.04730131188218,55.64055547908861
6,5,284.78989563059827,47.852740684540336,183.71863568821885,369.674386778184,60.83741372318591,48.47224465063063
7,6,299.64662868388456,35.38879128109126,228.64915168553824,381.26521160440956,52.544518263443656,44.72554281483526
8,7,363.212435058466,54.00793375030144,311.3539755980149,466.1085347154634,47.0116454589216,40.43092064314251
9,8,307.9027619217878,50.251263170677845,220.36095766421317,387.4308096464033,42.506058953025125,36.34936146302657
10,9,339.65140561017745,28.963710829067878,288.67170617907834,402.4229340417388,37.53056372428427,33.434843335832866
11,10,317.963547754598,39.34914946356541,221.57738817835175,360.2754774163037,34.950803218064486,32.3250604558874
