,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-153.84775247416408,27.712854097398864,-208.4421047721327,-99.3959286604493,,
1,0,-0.006872930081115669,18.81455412471714,-32.98163618771824,29.94077304261979,4179.690942382813,143.0653533935547
2,1,82.69496666603229,24.499247696269094,41.87047929146377,120.49833115458446,163.0244960784912,91.5843584060669
3,2,142.95333457350156,26.32555106965612,113.58628022572229,189.24227033470473,112.28429857889812,65.87625274658203
4,3,173.44056807106057,29.99054907854179,119.8960023713372,215.1684425940739,81.593838763237,55.32545139789581
5,4,265.21943325277743,36.12713234210859,205.8959889329675,341.3001160072656,65.59412897849569,47.56079957923111
6,5,255.0292515449491,27.907896563700785,209.4677777442539,303.7056784252766,53.246262437206205,41.35388952998792
7,6,264.927284522683,31.467229738014506,222.22020106250494,308.5716015872868,45.27608102991961,37.99801646799281
8,7,320.1697317460609,45.4923437562049,254.27383668376044,384.7899042969975,40.82158589664894,35.18730828731875
9,8,277.63125926920907,20.91956274864228,240.71736801118786,318.14367581832613,38.76160478591919,33.218319004232235
10,9,297.28418880254986,31.272638841227238,228.68872867595792,350.4432136256264,34.81835990049401,30.880819846172724
11,10,356.4396434290605,35.74129281370914,290.80837339525795,396.9600107029099,31.911245646300138,28.927555260834872
